Game Name,Company,Start,Finish,Status,Notes
game 1,dev 1,2024-08-27,2024-10-31,Not Started,1st 
game2,dev 2,2024-08-27,2024-12-28,In Progress,2nd 
game3,dev 3,2024-08-27,2025-12-03,Completed,3rd
game 1,dev 1,2024-08-27,2024-10-31,Not Started,1st 
game2,dev 2,2024-08-27,2024-12-28,In Progress,2nd 
game3,dev 3,2024-08-27,2025-12-03,Completed,3rd
game 1,dev 1,2024-08-27,2024-10-31,Not Started,1st 
game2,dev 2,2024-08-27,2024-12-28,In Progress,2nd 
game3,dev 3,2024-08-27,2025-12-03,Completed,3rd
game 1,dev 1,2024-08-27,2024-10-31,Not Started,1st 
game2,dev 2,2024-08-27,2024-12-28,In Progress,2nd 
game3,dev 3,2024-08-27,2025-12-03,Completed,3rd
game 1,dev 1,2024-08-27,2024-10-31,Not Started,1st 
game2,dev 2,2024-08-27,2024-12-28,In Progress,2nd 
game3,dev 3,2024-08-27,2025-12-03,Completed,3rd
game 1,dev 1,2024-08-27,2024-10-31,Not Started,1st 
game2,dev 2,2024-08-27,2024-12-28,In Progress,2nd 
game3,dev 3,2024-08-27,2025-12-03,Completed,3rd
game4,dev 4,2024-08-27,2025-08-15,Hold,4 hold
game 1,dev 1,2024-08-27,2024-10-31,Not Started,1st 
game2,dev 2,2024-08-27,2024-12-28,In Progress,2nd 
game3,dev 3,2024-08-27,2025-12-03,Completed,3rd
game 1,dev 1,2024-08-27,2024-10-31,Not Started,1st 
game2,dev 2,2024-08-27,2024-12-28,In Progress,2nd 
game3,dev 3,2024-08-27,2025-12-03,Completed,3rd
game 1,dev 1,2024-08-27,2024-10-31,Not Started,1st 
game2,dev 2,2024-08-27,2024-12-28,In Progress,2nd 
game3,dev 3,2024-08-27,2025-12-03,Completed,3rd
game 1,dev 1,2024-08-27,2024-10-31,Not Started,1st 
game2,dev 2,2024-08-27,2024-12-28,In Progress,2nd 
game3,dev 3,2024-08-27,2025-12-03,Completed,3rd
game 1,dev 1,2024-08-27,2024-10-31,Not Started,1st 
game2,dev 2,2024-08-27,2024-12-28,In Progress,2nd 
game3,dev 3,2024-08-27,2025-12-03,Completed,3rd
game 1,dev 1,2024-08-27,2024-10-31,Not Started,1st 
game2,dev 2,2024-08-27,2024-12-28,In Progress,2nd 
game3,dev 3,2024-08-27,2025-12-03,Completed,3rd
game5,dev 5,2024-08-27,2025-07-11,Delayed,5hold
game 1,dev 1,2024-08-27,2024-10-31,Not Started,1st 
game2,dev 2,2024-08-27,2024-12-28,In Progress,2nd 
game3,dev 3,2024-08-27,2025-12-03,Completed,3rd
